age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17,Self-emp-not-inc,1093234,HS-grad,9,Divorced,Adm-clerical,Husband,White,Male,7688,0,40,United-States,>50K
32,Private,1126789,Some-college,10,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Male,0,0,27,United-States,<=50K
17,Local-gov,747260,Bachelors,13,Separated,Other-service,Husband,White,Male,0,0,44,United-States,>50K
66,Self-emp-not-inc,1139779,HS-grad,9,Widowed,Craft-repair,Own-child,Black,Male,0,0,37,United-States,<=50K
40,Private,1110958,7th-8th,4,Never-married,Sales,Not-in-family,White,Female,0,0,14,United-States,>50K
39,?,928597,HS-grad,9,Married-civ-spouse,Other-service,Unmarried,White,Male,5060,0,36,United-States,>50K
41,Self-emp-not-inc,322955,Bachelors,13,Widowed,Exec-managerial,Own-child,Black,Male,0,0,23,United-States,<=50K
46,Self-emp-inc,640045,Some-college,10,Married-civ-spouse,?,Not-in-family,White,Male,0,0,28,?,<=50K
51,Private,1226957,Assoc-voc,11,Never-married,Other-service,Own-child,White,Male,0,0,38,United-States,<=50K
17,Private,474317,HS-grad,9,Never-married,Sales,Unmarried,White,Male,0,0,39,United-States,<=50K
56,Private,994543,HS-grad,9,Never-married,Adm-clerical,Husband,White,Male,0,0,32,United-States,>50K
55,State-gov,1243435,Some-college,10,Widowed,Prof-specialty,Own-child,White,Male,0,0,45,United-States,<=50K
37,Private,805940,HS-grad,9,Widowed,Craft-repair,Wife,Black,Male,0,0,39,United-States,<=50K
36,Federal-gov,767048,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,36,United-States,>50K
17,Private,292006,HS-grad,9,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
20,Private,751246,HS-grad,9,Divorced,Craft-repair,Husband,White,Male,0,0,52,United-States,<=50K
45,Private,75160,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,18,United-States,<=50K
54,Private,181674,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,53,United-States,<=50K
48,Federal-gov,818896,Some-college,10,Married-civ-spouse,Sales,Husband,White,Female,0,0,34,United-States,<=50K
36,Private,337735,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,32,United-States,<=50K
64,Self-emp-not-inc,529589,Masters,14,Never-married,Other-service,Husband,Other,Male,0,0,36,United-States,<=50K
52,Private,549047,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,1408,31,Mexico,<=50K
32,?,716691,Bachelors,13,Widowed,Sales,Husband,White,Female,0,0,30,United-States,<=50K
68,Local-gov,1052194,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,48,United-States,<=50K
22,Self-emp-inc,676320,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,42,United-States,<=50K
17,Private,1269917,Some-college,10,Married-civ-spouse,Craft-repair,Not-in-family,Black,Male,0,0,21,United-States,<=50K
32,Private,730005,HS-grad,9,Never-married,Protective-serv,Wife,White,Female,0,0,47,United-States,<=50K
27,Private,1489383,HS-grad,9,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,45,United-States,<=50K
32,Private,1499223,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,25,United-States,<=50K
49,Private,648591,5th-6th,3,Divorced,Handlers-cleaners,Unmarried,White,Male,0,0,42,United-States,>50K
37,Self-emp-not-inc,1151292,Preschool,1,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,46,United-States,<=50K
37,?,686914,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,24,United-States,>50K
38,Private,1314349,7th-8th,4,Never-married,Adm-clerical,Other-relative,White,Male,0,0,43,United-States,<=50K
17,Private,1152132,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,33,United-States,<=50K
17,Private,516206,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Female,0,0,45,United-States,<=50K
32,Private,490664,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,31,United-States,<=50K
26,Private,1322690,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,<=50K
34,Private,816750,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,38,United-States,<=50K
57,Private,1046131,Bachelors,13,Divorced,Prof-specialty,Other-relative,White,Male,0,0,34,United-States,<=50K
36,Private,1019724,Bachelors,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,3325,0,33,United-States,>50K
19,Private,259633,HS-grad,9,Never-married,Tech-support,Husband,White,Male,0,0,49,United-States,<=50K
26,Federal-gov,364303,12th,8,Never-married,Prof-specialty,Husband,White,Male,3325,0,33,United-States,>50K
61,Self-emp-not-inc,1351862,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,51,United-States,<=50K
59,Private,428750,HS-grad,9,Widowed,Machine-op-inspct,Wife,White,Male,0,0,42,United-States,<=50K
46,Federal-gov,1304368,HS-grad,9,Divorced,Sales,Wife,White,Female,0,0,26,United-States,<=50K
17,Self-emp-inc,542655,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,5060,0,40,United-States,>50K
42,Private,1271919,HS-grad,9,Never-married,Handlers-cleaners,Husband,White,Female,0,0,40,United-States,<=50K
43,Private,872017,Bachelors,13,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,26,United-States,>50K
38,Private,160651,12th,8,Married-civ-spouse,?,Wife,White,Male,0,0,40,United-States,<=50K
30,Private,415107,Prof-school,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,?,>50K
32,Private,1429626,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,51,United-States,<=50K
29,Private,322545,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Male,0,0,51,United-States,<=50K
21,Self-emp-inc,351361,Some-college,10,Never-married,Machine-op-inspct,Husband,White,Male,0,0,64,United-States,<=50K
57,Private,235318,11th,7,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
50,Self-emp-not-inc,919498,Bachelors,13,Divorced,Farming-fishing,Husband,White,Male,7688,0,46,United-States,>50K
34,Self-emp-inc,1216443,HS-grad,9,Divorced,Other-service,Own-child,White,Male,0,0,34,United-States,<=50K
42,Private,1405146,Some-college,10,Never-married,Tech-support,Husband,White,Female,0,0,59,United-States,<=50K
43,Private,1330439,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,31,United-States,<=50K
70,Private,1327354,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,58,United-States,>50K
50,Private,1358321,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,0,0,57,United-States,<=50K
49,Private,857254,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,32,United-States,>50K
38,Private,1234769,12th,8,Widowed,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,50,?,<=50K
31,Private,956829,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,United-States,<=50K
57,Self-emp-not-inc,217149,11th,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,36,United-States,<=50K
47,Private,49264,Masters,14,Never-married,Prof-specialty,Not-in-family,Other,Male,0,0,39,United-States,>50K
26,Private,158357,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,0,1977,43,United-States,>50K
44,Private,527168,Some-college,10,Divorced,Exec-managerial,Husband,White,Female,0,0,44,United-States,<=50K
49,Private,755257,HS-grad,9,Married-civ-spouse,?,Other-relative,White,Female,0,0,55,United-States,>50K
17,Private,962392,HS-grad,9,Divorced,Other-service,Other-relative,Amer-Indian-Eskimo,Female,99999,0,46,United-States,>50K
25,Private,788361,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,32,United-States,<=50K
43,Private,557706,HS-grad,9,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,47,United-States,>50K
17,Private,1102708,HS-grad,9,Never-married,Transport-moving,Own-child,White,Female,99999,0,23,United-States,>50K
17,Local-gov,1293679,HS-grad,9,Never-married,Sales,Unmarried,White,Female,0,0,36,United-States,<=50K
34,Private,344423,Some-college,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,7688,0,37,United-States,<=50K
44,Private,402064,Prof-school,15,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,0,47,United-States,>50K
45,Private,1397322,HS-grad,9,Never-married,Adm-clerical,Husband,White,Female,0,0,58,United-States,<=50K
60,Private,1456143,Some-college,10,Never-married,Prof-specialty,Wife,White,Male,0,0,42,United-States,<=50K
39,Private,473865,12th,8,Never-married,Other-service,Not-in-family,White,Male,0,0,36,United-States,<=50K
32,Private,770563,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,0,0,33,United-States,<=50K
19,Self-emp-inc,872201,Assoc-voc,11,Never-married,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,<=50K
32,Private,956893,HS-grad,9,Divorced,Prof-specialty,Husband,White,Male,0,0,38,United-States,<=50K
47,Private,1298085,Some-college,10,Divorced,Other-service,Husband,Black,Male,0,0,35,United-States,<=50K
48,Federal-gov,170293,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,50,United-States,<=50K
41,Private,791367,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,5060,0,52,United-States,>50K
45,Private,334947,Masters,14,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States,<=50K
55,Private,1133539,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,25,United-States,<=50K
39,Self-emp-not-inc,900000,Bachelors,13,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,39,United-States,<=50K
57,Private,1126801,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Female,0,0,29,United-States,<=50K
27,Private,1359221,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,27,United-States,<=50K
36,Private,1187761,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,30,United-States,>50K
31,Private,1283106,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,>50K
49,Self-emp-not-inc,1219028,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States,>50K
23,Private,942971,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Female,0,0,65,United-States,<=50K
33,Private,596592,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Wife,White,Female,0,0,34,United-States,<=50K
17,Private,512996,Doctorate,16,Married-civ-spouse,Transport-moving,Husband,White,Female,0,0,53,United-States,<=50K
46,Private,553608,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,45,?,>50K
55,Private,916192,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,34,United-States,<=50K
50,Private,1207801,Some-college,10,Married-civ-spouse,?,Not-in-family,Black,Male,0,0,39,United-States,>50K
49,Private,558888,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,34,United-States,<=50K
49,?,875029,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,2174,0,43,United-States,>50K
47,State-gov,628376,Some-college,10,Widowed,?,Not-in-family,White,Male,0,0,50,United-States,>50K
46,Self-emp-not-inc,916669,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,36,United-States,<=50K
47,Private,1230498,5th-6th,3,Never-married,Protective-serv,Not-in-family,White,Female,0,0,48,United-States,<=50K
28,?,625520,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,53,United-States,<=50K
35,Self-emp-inc,603206,Bachelors,13,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,1408,55,United-States,>50K
38,Self-emp-not-inc,312800,HS-grad,9,Never-married,Sales,Husband,White,Male,0,0,28,United-States,>50K
33,Private,754477,HS-grad,9,Married-spouse-absent,Sales,Husband,White,Male,0,0,40,United-States,>50K
17,Private,692455,HS-grad,9,Never-married,?,Other-relative,White,Male,0,0,47,United-States,<=50K
20,Private,251120,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,29,United-States,<=50K
41,State-gov,1454864,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,27,United-States,>50K
50,Private,1291285,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
38,Private,445519,Some-college,10,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,36,United-States,<=50K
76,Private,1417315,Assoc-acdm,12,Never-married,Sales,Unmarried,White,Male,0,0,38,?,>50K
25,Private,417476,Masters,14,Divorced,Farming-fishing,Husband,White,Male,0,0,35,Mexico,>50K
44,Private,635849,11th,7,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,62,United-States,>50K
56,Local-gov,207476,Masters,14,Married-civ-spouse,Exec-managerial,Own-child,White,Male,0,0,35,United-States,<=50K
52,Self-emp-not-inc,923141,Some-college,10,Divorced,?,Husband,White,Male,2174,0,46,United-States,<=50K
47,Self-emp-not-inc,728515,Bachelors,13,Married-civ-spouse,Prof-specialty,Unmarried,White,Male,0,0,45,Germany,>50K
52,Private,410531,7th-8th,4,Never-married,Exec-managerial,Husband,White,Male,0,0,23,United-States,<=50K
38,Private,442044,Some-college,10,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,55,United-States,<=50K
61,Private,1403718,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,46,United-States,<=50K
55,Private,1034752,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0,0,42,United-States,<=50K
